"experiment_id","video_id","model_name","technique_name","rag_enabled","gt_total_energy_kcal","gt_total_protein_g","gt_total_fat_g","gt_total_carbohydrate_g","pred_total_energy_kcal","pred_total_protein_g","pred_total_fat_g","pred_total_carbohydrate_g"
"2064","1","Gemma-SEA-LION v4 4B","chain-of-thought","0","1016","33","16.700000047683716","171",NULL,NULL,NULL,NULL
"2065","1","Gemma-SEA-LION v4 4B","structured-output","0","1016","33","16.700000047683716","171",NULL,NULL,NULL,NULL
"2066","1","MedGemma 4B","zero-shot","0","1016","33","16.700000047683716","171",NULL,NULL,NULL,NULL
"2067","1","MedGemma 4B","few-shot","0","1016","33","16.700000047683716","171",NULL,NULL,NULL,NULL
"2068","1","MedGemma 4B","chain-of-thought","0","1016","33","16.700000047683716","171",NULL,NULL,NULL,NULL
"2069","1","MedGemma 4B","structured-output","0","1016","33","16.700000047683716","171",NULL,NULL,NULL,NULL
"2070","2","Llama 3.2 3B Instruct","zero-shot","0","4326","117.80000004172325","362.40000000596046","177",NULL,NULL,NULL,NULL
"2071","2","Llama 3.2 3B Instruct","few-shot","0","4326","117.80000004172325","362.40000000596046","177",NULL,NULL,NULL,NULL
"2072","2","Llama 3.2 3B Instruct","chain-of-thought","0","4326","117.80000004172325","362.40000000596046","177",NULL,NULL,NULL,NULL
"2073","2","Llama 3.2 3B Instruct","structured-output","0","4326","117.80000004172325","362.40000000596046","177",NULL,NULL,NULL,NULL
"2075","2","Phi-4-mini 3.8B Instruct","few-shot","0","4326","117.80000004172325","362.40000000596046","177",NULL,NULL,NULL,NULL
"2076","2","Phi-4-mini 3.8B Instruct","chain-of-thought","0","4326","117.80000004172325","362.40000000596046","177",NULL,NULL,NULL,NULL
"2077","2","Phi-4-mini 3.8B Instruct","structured-output","0","4326","117.80000004172325","362.40000000596046","177",NULL,NULL,NULL,NULL
"2078","2","Qwen 2.5 3B Instruct","zero-shot","0","4326","117.80000004172325","362.40000000596046","177",NULL,NULL,NULL,NULL
"2079","2","Qwen 2.5 3B Instruct","few-shot","0","4326","117.80000004172325","362.40000000596046","177",NULL,NULL,NULL,NULL
"2080","2","Qwen 2.5 3B Instruct","chain-of-thought","0","4326","117.80000004172325","362.40000000596046","177",NULL,NULL,NULL,NULL
"2081","2","Qwen 2.5 3B Instruct","structured-output","0","4326","117.80000004172325","362.40000000596046","177",NULL,NULL,NULL,NULL
"2082","2","Gemma-SEA-LION v4 4B","zero-shot","0","4326","117.80000004172325","362.40000000596046","177",NULL,NULL,NULL,NULL
"2083","2","Gemma-SEA-LION v4 4B","few-shot","0","4326","117.80000004172325","362.40000000596046","177",NULL,NULL,NULL,NULL
"2084","2","Gemma-SEA-LION v4 4B","chain-of-thought","0","4326","117.80000004172325","362.40000000596046","177",NULL,NULL,NULL,NULL
"2085","2","Gemma-SEA-LION v4 4B","structured-output","0","4326","117.80000004172325","362.40000000596046","177",NULL,NULL,NULL,NULL
"2086","2","MedGemma 4B","zero-shot","0","4326","117.80000004172325","362.40000000596046","177",NULL,NULL,NULL,NULL
"2087","2","MedGemma 4B","few-shot","0","4326","117.80000004172325","362.40000000596046","177",NULL,NULL,NULL,NULL
"2088","2","MedGemma 4B","chain-of-thought","0","4326","117.80000004172325","362.40000000596046","177",NULL,NULL,NULL,NULL
"2089","2","MedGemma 4B","structured-output","0","4326","117.80000004172325","362.40000000596046","177",NULL,NULL,NULL,NULL
"2090","3","Llama 3.2 3B Instruct","zero-shot","0","3530","50","182","431",NULL,NULL,NULL,NULL
"2091","3","Llama 3.2 3B Instruct","few-shot","0","3530","50","182","431",NULL,NULL,NULL,NULL
"2092","3","Llama 3.2 3B Instruct","chain-of-thought","0","3530","50","182","431",NULL,NULL,NULL,NULL
"2093","3","Llama 3.2 3B Instruct","structured-output","0","3530","50","182","431",NULL,NULL,NULL,NULL
"2094","3","Phi-4-mini 3.8B Instruct","zero-shot","0","3530","50","182","431",NULL,NULL,NULL,NULL
"2095","3","Phi-4-mini 3.8B Instruct","few-shot","0","3530","50","182","431",NULL,NULL,NULL,NULL
"2096","3","Phi-4-mini 3.8B Instruct","chain-of-thought","0","3530","50","182","431",NULL,NULL,NULL,NULL
"2097","3","Phi-4-mini 3.8B Instruct","structured-output","0","3530","50","182","431",NULL,NULL,NULL,NULL
"2098","3","Qwen 2.5 3B Instruct","zero-shot","0","3530","50","182","431",NULL,NULL,NULL,NULL
"2099","3","Qwen 2.5 3B Instruct","few-shot","0","3530","50","182","431",NULL,NULL,NULL,NULL
"2100","3","Qwen 2.5 3B Instruct","chain-of-thought","0","3530","50","182","431",NULL,NULL,NULL,NULL
"2101","3","Qwen 2.5 3B Instruct","structured-output","0","3530","50","182","431",NULL,NULL,NULL,NULL
"2102","3","Gemma-SEA-LION v4 4B","zero-shot","0","3530","50","182","431",NULL,NULL,NULL,NULL
"2103","3","Gemma-SEA-LION v4 4B","few-shot","0","3530","50","182","431",NULL,NULL,NULL,NULL
"2104","3","Gemma-SEA-LION v4 4B","chain-of-thought","0","3530","50","182","431",NULL,NULL,NULL,NULL
"2105","3","Gemma-SEA-LION v4 4B","structured-output","0","3530","50","182","431",NULL,NULL,NULL,NULL
"2106","3","MedGemma 4B","zero-shot","0","3530","50","182","431",NULL,NULL,NULL,NULL
"2107","3","MedGemma 4B","few-shot","0","3530","50","182","431",NULL,NULL,NULL,NULL
"2108","3","MedGemma 4B","chain-of-thought","0","3530","50","182","431",NULL,NULL,NULL,NULL
"2109","3","MedGemma 4B","structured-output","0","3530","50","182","431",NULL,NULL,NULL,NULL
"2110","4","Llama 3.2 3B Instruct","zero-shot","0","1914","41.00000002980232","8.700000010430813","416",NULL,NULL,NULL,NULL
"2111","4","Llama 3.2 3B Instruct","few-shot","0","1914","41.00000002980232","8.700000010430813","416",NULL,NULL,NULL,NULL
"2112","4","Llama 3.2 3B Instruct","chain-of-thought","0","1914","41.00000002980232","8.700000010430813","416",NULL,NULL,NULL,NULL
"2113","4","Llama 3.2 3B Instruct","structured-output","0","1914","41.00000002980232","8.700000010430813","416",NULL,NULL,NULL,NULL
"2114","4","Phi-4-mini 3.8B Instruct","zero-shot","0","1914","41.00000002980232","8.700000010430813","416",NULL,NULL,NULL,NULL
"2115","4","Phi-4-mini 3.8B Instruct","few-shot","0","1914","41.00000002980232","8.700000010430813","416",NULL,NULL,NULL,NULL
"2116","4","Phi-4-mini 3.8B Instruct","chain-of-thought","0","1914","41.00000002980232","8.700000010430813","416",NULL,NULL,NULL,NULL
"2117","4","Phi-4-mini 3.8B Instruct","structured-output","0","1914","41.00000002980232","8.700000010430813","416",NULL,NULL,NULL,NULL
"2118","4","Qwen 2.5 3B Instruct","zero-shot","0","1914","41.00000002980232","8.700000010430813","416",NULL,NULL,NULL,NULL
"2119","4","Qwen 2.5 3B Instruct","few-shot","0","1914","41.00000002980232","8.700000010430813","416",NULL,NULL,NULL,NULL
"2120","4","Qwen 2.5 3B Instruct","chain-of-thought","0","1914","41.00000002980232","8.700000010430813","416",NULL,NULL,NULL,NULL
"2121","4","Qwen 2.5 3B Instruct","structured-output","0","1914","41.00000002980232","8.700000010430813","416",NULL,NULL,NULL,NULL
"2122","4","Gemma-SEA-LION v4 4B","zero-shot","0","1914","41.00000002980232","8.700000010430813","416",NULL,NULL,NULL,NULL
"2123","4","Gemma-SEA-LION v4 4B","few-shot","0","1914","41.00000002980232","8.700000010430813","416",NULL,NULL,NULL,NULL
"2124","4","Gemma-SEA-LION v4 4B","chain-of-thought","0","1914","41.00000002980232","8.700000010430813","416",NULL,NULL,NULL,NULL
"2125","4","Gemma-SEA-LION v4 4B","structured-output","0","1914","41.00000002980232","8.700000010430813","416",NULL,NULL,NULL,NULL
"2126","4","MedGemma 4B","zero-shot","0","1914","41.00000002980232","8.700000010430813","416",NULL,NULL,NULL,NULL
"2127","4","MedGemma 4B","few-shot","0","1914","41.00000002980232","8.700000010430813","416",NULL,NULL,NULL,NULL
"2128","4","MedGemma 4B","chain-of-thought","0","1914","41.00000002980232","8.700000010430813","416",NULL,NULL,NULL,NULL
"2129","4","MedGemma 4B","structured-output","0","1914","41.00000002980232","8.700000010430813","416",NULL,NULL,NULL,NULL
"2130","5","Llama 3.2 3B Instruct","zero-shot","0","2090","34","52.200000047683716","348",NULL,NULL,NULL,NULL
"2131","5","Llama 3.2 3B Instruct","few-shot","0","2090","34","52.200000047683716","348",NULL,NULL,NULL,NULL
"2132","5","Llama 3.2 3B Instruct","chain-of-thought","0","2090","34","52.200000047683716","348",NULL,NULL,NULL,NULL
"2133","5","Llama 3.2 3B Instruct","structured-output","0","2090","34","52.200000047683716","348",NULL,NULL,NULL,NULL
"2134","5","Phi-4-mini 3.8B Instruct","zero-shot","0","2090","34","52.200000047683716","348",NULL,NULL,NULL,NULL
"2135","5","Phi-4-mini 3.8B Instruct","few-shot","0","2090","34","52.200000047683716","348",NULL,NULL,NULL,NULL
"2136","5","Phi-4-mini 3.8B Instruct","chain-of-thought","0","2090","34","52.200000047683716","348",NULL,NULL,NULL,NULL
"2137","5","Phi-4-mini 3.8B Instruct","structured-output","0","2090","34","52.200000047683716","348",NULL,NULL,NULL,NULL
"2138","5","Qwen 2.5 3B Instruct","zero-shot","0","2090","34","52.200000047683716","348",NULL,NULL,NULL,NULL
"2139","5","Qwen 2.5 3B Instruct","few-shot","0","2090","34","52.200000047683716","348",NULL,NULL,NULL,NULL
"2140","5","Qwen 2.5 3B Instruct","chain-of-thought","0","2090","34","52.200000047683716","348",NULL,NULL,NULL,NULL
"2141","5","Qwen 2.5 3B Instruct","structured-output","0","2090","34","52.200000047683716","348",NULL,NULL,NULL,NULL
"2142","5","Gemma-SEA-LION v4 4B","zero-shot","0","2090","34","52.200000047683716","348",NULL,NULL,NULL,NULL
"2143","5","Gemma-SEA-LION v4 4B","few-shot","0","2090","34","52.200000047683716","348",NULL,NULL,NULL,NULL
"2144","5","Gemma-SEA-LION v4 4B","chain-of-thought","0","2090","34","52.200000047683716","348",NULL,NULL,NULL,NULL
"2145","5","Gemma-SEA-LION v4 4B","structured-output","0","2090","34","52.200000047683716","348",NULL,NULL,NULL,NULL
"2146","5","MedGemma 4B","zero-shot","0","2090","34","52.200000047683716","348",NULL,NULL,NULL,NULL
"2147","5","MedGemma 4B","few-shot","0","2090","34","52.200000047683716","348",NULL,NULL,NULL,NULL
"2148","5","MedGemma 4B","chain-of-thought","0","2090","34","52.200000047683716","348",NULL,NULL,NULL,NULL
"2149","5","MedGemma 4B","structured-output","0","2090","34","52.200000047683716","348",NULL,NULL,NULL,NULL
"2150","6","Llama 3.2 3B Instruct","zero-shot","0","5705","41","241.5","832",NULL,NULL,NULL,NULL
"2151","6","Llama 3.2 3B Instruct","few-shot","0","5705","41","241.5","832",NULL,NULL,NULL,NULL
"2152","6","Llama 3.2 3B Instruct","chain-of-thought","0","5705","41","241.5","832",NULL,NULL,NULL,NULL
"2153","6","Llama 3.2 3B Instruct","structured-output","0","5705","41","241.5","832",NULL,NULL,NULL,NULL
"2154","6","Phi-4-mini 3.8B Instruct","zero-shot","0","5705","41","241.5","832",NULL,NULL,NULL,NULL
"2155","6","Phi-4-mini 3.8B Instruct","few-shot","0","5705","41","241.5","832",NULL,NULL,NULL,NULL
"2156","6","Phi-4-mini 3.8B Instruct","chain-of-thought","0","5705","41","241.5","832",NULL,NULL,NULL,NULL
"2157","6","Phi-4-mini 3.8B Instruct","structured-output","0","5705","41","241.5","832",NULL,NULL,NULL,NULL
"2158","6","Qwen 2.5 3B Instruct","zero-shot","0","5705","41","241.5","832",NULL,NULL,NULL,NULL
"2159","6","Qwen 2.5 3B Instruct","few-shot","0","5705","41","241.5","832",NULL,NULL,NULL,NULL
"2160","6","Qwen 2.5 3B Instruct","chain-of-thought","0","5705","41","241.5","832",NULL,NULL,NULL,NULL
"2161","6","Qwen 2.5 3B Instruct","structured-output","0","5705","41","241.5","832",NULL,NULL,NULL,NULL
"2162","6","Gemma-SEA-LION v4 4B","zero-shot","0","5705","41","241.5","832",NULL,NULL,NULL,NULL
"2163","6","Gemma-SEA-LION v4 4B","few-shot","0","5705","41","241.5","832",NULL,NULL,NULL,NULL
"2164","6","Gemma-SEA-LION v4 4B","chain-of-thought","0","5705","41","241.5","832",NULL,NULL,NULL,NULL
"2165","6","Gemma-SEA-LION v4 4B","structured-output","0","5705","41","241.5","832",NULL,NULL,NULL,NULL
"2166","6","MedGemma 4B","zero-shot","0","5705","41","241.5","832",NULL,NULL,NULL,NULL
"2167","6","MedGemma 4B","few-shot","0","5705","41","241.5","832",NULL,NULL,NULL,NULL
"2168","6","MedGemma 4B","chain-of-thought","0","5705","41","241.5","832",NULL,NULL,NULL,NULL
"2169","6","MedGemma 4B","structured-output","0","5705","41","241.5","832",NULL,NULL,NULL,NULL
"2171","7","Llama 3.2 3B Instruct","few-shot","0","1840","20","101.5","210",NULL,NULL,NULL,NULL
"2172","7","Llama 3.2 3B Instruct","chain-of-thought","0","1840","20","101.5","210",NULL,NULL,NULL,NULL
"2173","7","Llama 3.2 3B Instruct","structured-output","0","1840","20","101.5","210",NULL,NULL,NULL,NULL
"2174","7","Phi-4-mini 3.8B Instruct","zero-shot","0","1840","20","101.5","210",NULL,NULL,NULL,NULL
"2176","7","Phi-4-mini 3.8B Instruct","chain-of-thought","0","1840","20","101.5","210",NULL,NULL,NULL,NULL
"2177","7","Phi-4-mini 3.8B Instruct","structured-output","0","1840","20","101.5","210",NULL,NULL,NULL,NULL
"2178","7","Qwen 2.5 3B Instruct","zero-shot","0","1840","20","101.5","210",NULL,NULL,NULL,NULL
"2179","7","Qwen 2.5 3B Instruct","few-shot","0","1840","20","101.5","210",NULL,NULL,NULL,NULL
"2180","7","Qwen 2.5 3B Instruct","chain-of-thought","0","1840","20","101.5","210",NULL,NULL,NULL,NULL
"2181","7","Qwen 2.5 3B Instruct","structured-output","0","1840","20","101.5","210",NULL,NULL,NULL,NULL
"2182","7","Gemma-SEA-LION v4 4B","zero-shot","0","1840","20","101.5","210",NULL,NULL,NULL,NULL
"2183","7","Gemma-SEA-LION v4 4B","few-shot","0","1840","20","101.5","210",NULL,NULL,NULL,NULL
"2184","7","Gemma-SEA-LION v4 4B","chain-of-thought","0","1840","20","101.5","210",NULL,NULL,NULL,NULL
"2185","7","Gemma-SEA-LION v4 4B","structured-output","0","1840","20","101.5","210",NULL,NULL,NULL,NULL
"2186","7","MedGemma 4B","zero-shot","0","1840","20","101.5","210",NULL,NULL,NULL,NULL
"2187","7","MedGemma 4B","few-shot","0","1840","20","101.5","210",NULL,NULL,NULL,NULL
"2188","7","MedGemma 4B","chain-of-thought","0","1840","20","101.5","210",NULL,NULL,NULL,NULL
"2189","7","MedGemma 4B","structured-output","0","1840","20","101.5","210",NULL,NULL,NULL,NULL
"2190","8","Llama 3.2 3B Instruct","zero-shot","0","360","7","1.7000000029802322","90",NULL,NULL,NULL,NULL
"2191","8","Llama 3.2 3B Instruct","few-shot","0","360","7","1.7000000029802322","90",NULL,NULL,NULL,NULL
"2192","8","Llama 3.2 3B Instruct","chain-of-thought","0","360","7","1.7000000029802322","90",NULL,NULL,NULL,NULL
"2193","8","Llama 3.2 3B Instruct","structured-output","0","360","7","1.7000000029802322","90",NULL,NULL,NULL,NULL
"2194","8","Phi-4-mini 3.8B Instruct","zero-shot","0","360","7","1.7000000029802322","90",NULL,NULL,NULL,NULL
"2195","8","Phi-4-mini 3.8B Instruct","few-shot","0","360","7","1.7000000029802322","90",NULL,NULL,NULL,NULL
"2196","8","Phi-4-mini 3.8B Instruct","chain-of-thought","0","360","7","1.7000000029802322","90",NULL,NULL,NULL,NULL
"2197","8","Phi-4-mini 3.8B Instruct","structured-output","0","360","7","1.7000000029802322","90",NULL,NULL,NULL,NULL
"2198","8","Qwen 2.5 3B Instruct","zero-shot","0","360","7","1.7000000029802322","90",NULL,NULL,NULL,NULL
"2199","8","Qwen 2.5 3B Instruct","few-shot","0","360","7","1.7000000029802322","90",NULL,NULL,NULL,NULL
"2200","8","Qwen 2.5 3B Instruct","chain-of-thought","0","360","7","1.7000000029802322","90",NULL,NULL,NULL,NULL
"2201","8","Qwen 2.5 3B Instruct","structured-output","0","360","7","1.7000000029802322","90",NULL,NULL,NULL,NULL
"2202","8","Gemma-SEA-LION v4 4B","zero-shot","0","360","7","1.7000000029802322","90",NULL,NULL,NULL,NULL
"2203","8","Gemma-SEA-LION v4 4B","few-shot","0","360","7","1.7000000029802322","90",NULL,NULL,NULL,NULL
"2204","8","Gemma-SEA-LION v4 4B","chain-of-thought","0","360","7","1.7000000029802322","90",NULL,NULL,NULL,NULL
"2205","8","Gemma-SEA-LION v4 4B","structured-output","0","360","7","1.7000000029802322","90",NULL,NULL,NULL,NULL
"2206","8","MedGemma 4B","zero-shot","0","360","7","1.7000000029802322","90",NULL,NULL,NULL,NULL
"2207","8","MedGemma 4B","few-shot","0","360","7","1.7000000029802322","90",NULL,NULL,NULL,NULL
"2208","8","MedGemma 4B","chain-of-thought","0","360","7","1.7000000029802322","90",NULL,NULL,NULL,NULL
"2209","8","MedGemma 4B","structured-output","0","360","7","1.7000000029802322","90",NULL,NULL,NULL,NULL
"2210","9","Llama 3.2 3B Instruct","zero-shot","0","2667","139.30000013113022","83.39999996125698","361.5",NULL,NULL,NULL,NULL
"2211","9","Llama 3.2 3B Instruct","few-shot","0","2667","139.30000013113022","83.39999996125698","361.5",NULL,NULL,NULL,NULL
"2212","9","Llama 3.2 3B Instruct","chain-of-thought","0","2667","139.30000013113022","83.39999996125698","361.5",NULL,NULL,NULL,NULL
"2213","9","Llama 3.2 3B Instruct","structured-output","0","2667","139.30000013113022","83.39999996125698","361.5",NULL,NULL,NULL,NULL
"2214","9","Phi-4-mini 3.8B Instruct","zero-shot","0","2667","139.30000013113022","83.39999996125698","361.5",NULL,NULL,NULL,NULL
"2215","9","Phi-4-mini 3.8B Instruct","few-shot","0","2667","139.30000013113022","83.39999996125698","361.5",NULL,NULL,NULL,NULL
"2216","9","Phi-4-mini 3.8B Instruct","chain-of-thought","0","2667","139.30000013113022","83.39999996125698","361.5",NULL,NULL,NULL,NULL
"2217","9","Phi-4-mini 3.8B Instruct","structured-output","0","2667","139.30000013113022","83.39999996125698","361.5",NULL,NULL,NULL,NULL
"2218","9","Qwen 2.5 3B Instruct","zero-shot","0","2667","139.30000013113022","83.39999996125698","361.5",NULL,NULL,NULL,NULL
"2219","9","Qwen 2.5 3B Instruct","few-shot","0","2667","139.30000013113022","83.39999996125698","361.5",NULL,NULL,NULL,NULL
"2220","9","Qwen 2.5 3B Instruct","chain-of-thought","0","2667","139.30000013113022","83.39999996125698","361.5",NULL,NULL,NULL,NULL
"2221","9","Qwen 2.5 3B Instruct","structured-output","0","2667","139.30000013113022","83.39999996125698","361.5",NULL,NULL,NULL,NULL
"2222","9","Gemma-SEA-LION v4 4B","zero-shot","0","2667","139.30000013113022","83.39999996125698","361.5",NULL,NULL,NULL,NULL
"2223","9","Gemma-SEA-LION v4 4B","few-shot","0","2667","139.30000013113022","83.39999996125698","361.5",NULL,NULL,NULL,NULL
"2224","9","Gemma-SEA-LION v4 4B","chain-of-thought","0","2667","139.30000013113022","83.39999996125698","361.5",NULL,NULL,NULL,NULL
"2225","9","Gemma-SEA-LION v4 4B","structured-output","0","2667","139.30000013113022","83.39999996125698","361.5",NULL,NULL,NULL,NULL
"2226","9","MedGemma 4B","zero-shot","0","2667","139.30000013113022","83.39999996125698","361.5",NULL,NULL,NULL,NULL
"2227","9","MedGemma 4B","few-shot","0","2667","139.30000013113022","83.39999996125698","361.5",NULL,NULL,NULL,NULL
"2228","9","MedGemma 4B","chain-of-thought","0","2667","139.30000013113022","83.39999996125698","361.5",NULL,NULL,NULL,NULL
"2229","9","MedGemma 4B","structured-output","0","2667","139.30000013113022","83.39999996125698","361.5",NULL,NULL,NULL,NULL
"2230","10","Llama 3.2 3B Instruct","zero-shot","0","2731","148.00000004470348","84.00000001490116","369.20000000298023",NULL,NULL,NULL,NULL
"2231","10","Llama 3.2 3B Instruct","few-shot","0","2731","148.00000004470348","84.00000001490116","369.20000000298023",NULL,NULL,NULL,NULL
"2232","10","Llama 3.2 3B Instruct","chain-of-thought","0","2731","148.00000004470348","84.00000001490116","369.20000000298023",NULL,NULL,NULL,NULL
"2233","10","Llama 3.2 3B Instruct","structured-output","0","2731","148.00000004470348","84.00000001490116","369.20000000298023",NULL,NULL,NULL,NULL
"2234","10","Phi-4-mini 3.8B Instruct","zero-shot","0","2731","148.00000004470348","84.00000001490116","369.20000000298023",NULL,NULL,NULL,NULL
"2235","10","Phi-4-mini 3.8B Instruct","few-shot","0","2731","148.00000004470348","84.00000001490116","369.20000000298023",NULL,NULL,NULL,NULL
"2236","10","Phi-4-mini 3.8B Instruct","chain-of-thought","0","2731","148.00000004470348","84.00000001490116","369.20000000298023",NULL,NULL,NULL,NULL
"2237","10","Phi-4-mini 3.8B Instruct","structured-output","0","2731","148.00000004470348","84.00000001490116","369.20000000298023",NULL,NULL,NULL,NULL
"2238","10","Qwen 2.5 3B Instruct","zero-shot","0","2731","148.00000004470348","84.00000001490116","369.20000000298023",NULL,NULL,NULL,NULL
"2239","10","Qwen 2.5 3B Instruct","few-shot","0","2731","148.00000004470348","84.00000001490116","369.20000000298023",NULL,NULL,NULL,NULL
"2240","10","Qwen 2.5 3B Instruct","chain-of-thought","0","2731","148.00000004470348","84.00000001490116","369.20000000298023",NULL,NULL,NULL,NULL
"2241","10","Qwen 2.5 3B Instruct","structured-output","0","2731","148.00000004470348","84.00000001490116","369.20000000298023",NULL,NULL,NULL,NULL
"2242","10","Gemma-SEA-LION v4 4B","zero-shot","0","2731","148.00000004470348","84.00000001490116","369.20000000298023",NULL,NULL,NULL,NULL
"2243","10","Gemma-SEA-LION v4 4B","few-shot","0","2731","148.00000004470348","84.00000001490116","369.20000000298023",NULL,NULL,NULL,NULL
"2244","10","Gemma-SEA-LION v4 4B","chain-of-thought","0","2731","148.00000004470348","84.00000001490116","369.20000000298023",NULL,NULL,NULL,NULL
"2245","10","Gemma-SEA-LION v4 4B","structured-output","0","2731","148.00000004470348","84.00000001490116","369.20000000298023",NULL,NULL,NULL,NULL
"2246","10","MedGemma 4B","zero-shot","0","2731","148.00000004470348","84.00000001490116","369.20000000298023",NULL,NULL,NULL,NULL
"2247","10","MedGemma 4B","few-shot","0","2731","148.00000004470348","84.00000001490116","369.20000000298023",NULL,NULL,NULL,NULL
"2248","10","MedGemma 4B","chain-of-thought","0","2731","148.00000004470348","84.00000001490116","369.20000000298023",NULL,NULL,NULL,NULL
"2249","10","MedGemma 4B","structured-output","0","2731","148.00000004470348","84.00000001490116","369.20000000298023",NULL,NULL,NULL,NULL
"2250","11","Llama 3.2 3B Instruct","zero-shot","0","370.79999923706055","28.200000405311584","26.900000005960464","30.700000047683716",NULL,NULL,NULL,NULL
"2251","11","Llama 3.2 3B Instruct","few-shot","0","370.79999923706055","28.200000405311584","26.900000005960464","30.700000047683716",NULL,NULL,NULL,NULL
"2252","11","Llama 3.2 3B Instruct","chain-of-thought","0","370.79999923706055","28.200000405311584","26.900000005960464","30.700000047683716",NULL,NULL,NULL,NULL
"2253","11","Llama 3.2 3B Instruct","structured-output","0","370.79999923706055","28.200000405311584","26.900000005960464","30.700000047683716",NULL,NULL,NULL,NULL
"2254","11","Phi-4-mini 3.8B Instruct","zero-shot","0","370.79999923706055","28.200000405311584","26.900000005960464","30.700000047683716",NULL,NULL,NULL,NULL
"2255","11","Phi-4-mini 3.8B Instruct","few-shot","0","370.79999923706055","28.200000405311584","26.900000005960464","30.700000047683716",NULL,NULL,NULL,NULL
"2256","11","Phi-4-mini 3.8B Instruct","chain-of-thought","0","370.79999923706055","28.200000405311584","26.900000005960464","30.700000047683716",NULL,NULL,NULL,NULL
"2257","11","Phi-4-mini 3.8B Instruct","structured-output","0","370.79999923706055","28.200000405311584","26.900000005960464","30.700000047683716",NULL,NULL,NULL,NULL
"2258","11","Qwen 2.5 3B Instruct","zero-shot","0","370.79999923706055","28.200000405311584","26.900000005960464","30.700000047683716",NULL,NULL,NULL,NULL
"2259","11","Qwen 2.5 3B Instruct","few-shot","0","370.79999923706055","28.200000405311584","26.900000005960464","30.700000047683716",NULL,NULL,NULL,NULL
"2260","11","Qwen 2.5 3B Instruct","chain-of-thought","0","370.79999923706055","28.200000405311584","26.900000005960464","30.700000047683716",NULL,NULL,NULL,NULL
"2261","11","Qwen 2.5 3B Instruct","structured-output","0","370.79999923706055","28.200000405311584","26.900000005960464","30.700000047683716",NULL,NULL,NULL,NULL
"2262","11","Gemma-SEA-LION v4 4B","zero-shot","0","370.79999923706055","28.200000405311584","26.900000005960464","30.700000047683716",NULL,NULL,NULL,NULL
"2263","11","Gemma-SEA-LION v4 4B","few-shot","0","370.79999923706055","28.200000405311584","26.900000005960464","30.700000047683716",NULL,NULL,NULL,NULL
"2264","11","Gemma-SEA-LION v4 4B","chain-of-thought","0","370.79999923706055","28.200000405311584","26.900000005960464","30.700000047683716",NULL,NULL,NULL,NULL
"2265","11","Gemma-SEA-LION v4 4B","structured-output","0","370.79999923706055","28.200000405311584","26.900000005960464","30.700000047683716",NULL,NULL,NULL,NULL
"2266","11","MedGemma 4B","zero-shot","0","370.79999923706055","28.200000405311584","26.900000005960464","30.700000047683716",NULL,NULL,NULL,NULL
"2267","11","MedGemma 4B","few-shot","0","370.79999923706055","28.200000405311584","26.900000005960464","30.700000047683716",NULL,NULL,NULL,NULL
"2268","11","MedGemma 4B","chain-of-thought","0","370.79999923706055","28.200000405311584","26.900000005960464","30.700000047683716",NULL,NULL,NULL,NULL
"2269","11","MedGemma 4B","structured-output","0","370.79999923706055","28.200000405311584","26.900000005960464","30.700000047683716",NULL,NULL,NULL,NULL
